['KUMCW', 'GZQDO', 'BGOJW', 'FJPVZ', 'SZXFW']
['HAXVF', 'MQDQQ', 'PSVNQ', 'WPGRW', 'OTQON']
['YXPNV', 'XFNKQ', 'WAHPX', 'VVCGQ', 'ALMIE']
['SJJMM', 'KGIPC', 'MTCGB', 'TNZEA', 'QVNNO']
['RMJIF', 'OUQMM', 'NUSHB', 'SEYUH', 'UHSWZ']
['FZQXE', 'PECLI', 'JEBNF', 'FGDHQ', 'LIQGP']
['HATBR', 'IAADS', 'AWDBE', 'SGXHX', 'ZHVLK']
['ENWEP', 'HSIWG', 'UCQZE', 'ZNMAJ', 'DFVZW']
['TFWCC', 'DBIOJ', 'NCDJQ', 'DUAEB', 'FXUHH']
['VLEXY', 'XBSXA', 'OQSOU', 'IVZGD', 'UZKCN']
['VYDDY', 'ARMIC', 'QUECI', 'SFQST', 'VATRQ']
['RCZHM', 'QYLAH', 'YJPCO', 'CIILB', 'GNCHO']
['SROSJ', 'IZZTZ', 'VGCRP', 'IKHTD', 'MYAVD']
['ZJQQO', 'GAEKQ', 'HWSJL', 'CCNPM', 'VWJWK']
['ZCVZT', 'YBAFX', 'MXMMA', 'OAGEZ', 'FZRBE']
['FXFUX', 'XXFSV', 'SPHAJ', 'LPHWP', 'ZQDIP']
['KDZKT', 'XWMKT', 'FVYLB', 'JQBSO', 'OJGET']
['ZIJNW', 'ETYTK', 'QSVBC', 'EYFRR', 'KSCIB']
['TLZCG', 'ZYPEK', 'ALXRH', 'BPZOY', 'CSQHY']
['BBVXC', 'XEEVL', 'LBKGE', 'TTIDN', 'YQPNL']
['KXUES', 'EBLCO', 'TVCFA', 'JHGWB', 'NSAJQ']
['VXIFI', 'UJHDY', 'NLRBO', 'HNXEZ', 'QGGOH']
['CBNUD', 'GVYUW', 'IRAUO', 'PKBGA', 'MWVBQ']
['OZZTI', 'RWZXF', 'HCVBR', 'TKJBK', 'JCOPI']
['LCHJI', 'ERTVL', 'CIOFH', 'WTGUO', 'JAFZN']
['WUTXG', 'KPECP', 'GUDYJ', 'UQKOV', 'KCHSD']
['HTJHJ', 'AILUZ', 'IZMEQ', 'CHIJG', 'WOIJX']
['ORRXP', 'CVNCZ', 'EWNSH', 'XBLXM', 'EFKRH']
['ONQWA', 'YWCZV', 'VATKD', 'GWJWE', 'NSTKH']
['OKQTW', 'ACMPF', 'AXQPJ', 'TBPZM', 'WCFRY']
['RDCTS', 'AWUBI', 'KEMJT', 'IXMQO', 'SYIZZ']
['DLKKW', 'SIGOM', 'TUSMK', 'QQXNO', 'ERQBP']
['CQBIT', 'QCHPG', 'RUGKU', 'WUCQA', 'KQUJH']
['INTFC', 'QSYML', 'DCJPL', 'XAOMD', 'UHYVL']
['WAQDW', 'HKVZW', 'LNIAF', 'SRFIJ', 'IRNCA']
['LYGHF', 'SRUUN', 'RJDRX', 'CIBMR', 'ZLQYF']
['SAVNS', 'MESKQ', 'TFEWH', 'GBGAG', 'BEIFF']
