161
171
['554', '943', '165']
['341', '308', '598']
['736', '156', '691']
['791', '732', '255']
['983', '324', '667']
['397', '610', '725']
['880', '870', '263']
['972', '249', '197']
['649', '88', '352']
['985', '755', '83']
['420', '993', '454']
['812', '234', '755']
['883', '823', '983']
['331', '377', '745']
['229', '104', '612']
['682', '612', '812']
['972', '360', '943']
['890', '649', '749']
['123', '205', '570']
['598', '436', '119']
['715', '434', '352']
['519', '234', '823']
['705', '97', '697']
['153', '80', '588']
['736', '8', '289']
['255', '172', '590']
['943', '19', '649']
['229', '65', '695']
['545', '782', '884']
['32', '255', '420']
['590', '765', '255']
['874', '523', '612']
['138', '884', '321']
['101', '321', '874']
['138', '454', '691']
['961', '97', '635']
['782', '890', '417']
['249', '218', '420']
['417', '77', '725']
['341', '218', '570']
['432', '425', '588']
['83', '604', '669']
['568', '782', '175']
['983', '360', '65']
['993', '197', '601']
['657', '175', '207']
['467', '157', '207']
['883', '669', '590']
['156', '289', '123']
['333', '899', '205']
['465', '83', '846']
['870', '467', '19']
['604', '80', '162']
['197', '931', '884']
['211', '51', '257']
['624', '612', '88']
['804', '612', '715']
['249', '548', '380']
['197', '551', '604']
['880', '207', '153']
['972', '931', '980']
['851', '945', '691']
['961', '554', '715']
['234', '331', '123']
['604', '417', '172']
['963', '165', '197']
['624', '884', '378']
['966', '331', '812']
['425', '515', '610']
['943', '324', '929']
['715', '695', '328']
['104', '623', '343']
['378', '257', '961']
['153', '467', '11']
['662', '263', '138']
['138', '432', '777']
['554', '667', '697']
['883', '639', '65']
['104', '321', '157']
['205', '612', '851']
['104', '434', '965']
['834', '11', '890']
['588', '436', '884']
['165', '624', '716']
['950', '519', '691']
['965', '429', '180']
['688', '515', '193']
['638', '11', '623']
['554', '32', '590']
['604', '716', '880']
['716', '249', '434']
['328', '870', '635']
['810', '321', '51']
['831', '782', '755']
['218', '432', '883']
['257', '983', '65']
['950', '610', '255']
['519', '205', '972']
['402', '432', '831']
['883', '454', '880']
['97', '883', '623']
['197', '444', '263']
['980', '689', '623']
['689', '234', '343']
['961', '444', '328']
['180', '157', '378']
['682', '97', '602']
['189', '360', '688']
['153', '823', '657']
['931', '534', '965']
['11', '119', '153']
['732', '162', '943']
['598', '228', '985']
['180', '19', '691']
['104', '255', '180']
['765', '804', '880']
['961', '328', '623']
['823', '51', '706']
['97', '851', '154']
['154', '97', '230']
['20', '937', '730']
['755', '823', '162']
['289', '77', '522']
['548', '444', '568']
['732', '682', '331']
['289', '725', '950']
['851', '781', '489']
['551', '639', '945']
['963', '377', '138']
['279', '154', '705']
['523', '119', '360']
['519', '851', '429']
['870', '899', '730']
['639', '255', '623']
['884', '417', '548']
['602', '943', '874']
['515', '950', '961']
['749', '638', '279']
['623', '883', '522']
['570', '321', '180']
['257', '706', '249']
['604', '965', '884']
['689', '534', '32']
['38', '667', '929']
['874', '899', '156']
['568', '716', '662']
['32', '715', '83']
['228', '155', '385']
['153', '417', '880']
['791', '706', '880']
['378', '880', '755']
['688', '602', '884']
['899', '980', '385']
['945', '823', '20']
['378', '993', '119']
['730', '590', '230']
['781', '548', '749']
['385', '860', '88']
['804', '831', '197']
['551', '745', '230']
['937', '467', '883']
['97', '791', '695']
['777', '662', '604']
['732', '444', '333']
['612', '155', '11']
['434', '874', '211']
['465', '333', '695']
['80', '207', '165']
['943', '746', '590']
['716', '380', '667']
['697', '156', '667']
['402', '425', '397']
['80', '777', '551']
['534', '20', '157']
['257', '649', '669']
['812', '548', '101']
['20', '123', '397']
['749', '11', '180']
['823', '189', '20']
['899', '834', '689']
['249', '604', '230']
['638', '604', '257']
['417', '175', '697']
['736', '432', '706']
['331', '983', '931']
['695', '749', '155']
['65', '229', '635']
['198', '860', '880']
['715', '211', '197']
['588', '123', '604']
['782', '402', '380']
['77', '568', '279']
['205', '444', '32']
['80', '635', '324']
['515', '228', '289']
['602', '101', '534']
['883', '189', '667']
['782', '730', '586']
['228', '157', '972']
['157', '444', '436']
['765', '83', '228']
['279', '545', '691']
['804', '602', '823']
['602', '929', '228']
['385', '377', '649']
['961', '638', '420']
['732', '515', '467']
['963', '716', '823']
['154', '791', '249']
['104', '343', '97']
['467', '77', '189']
['874', '228', '831']
['860', '378', '543']
['899', '321', '444']
['489', '19', '205']
['385', '119', '963']
['444', '980', '612']
['716', '257', '777']
['8', '207', '985']
['812', '153', '732']
['899', '157', '211']
['436', '51', '657']
['180', '189', '623']
['467', '157', '420']
['228', '38', '635']
['197', '289', '548']
['945', '777', '425']
['937', '328', '548']
['694', '522', '175']
['193', '602', '950']
['851', '11', '436']
['548', '197', '746']
['765', '884', '255']
['548', '890', '604']
['965', '568', '667']
['812', '77', '308']
['736', '745', '429']
['172', '189', '635']
['230', '961', '950']
['234', '8', '601']
['189', '638', '97']
['331', '993', '961']
['697', '397', '972']
['601', '515', '706']
['434', '321', '860']
['51', '657', '691']
['706', '467', '198']
['65', '308', '465']
['380', '662', '331']
['211', '193', '351']
['402', '20', '197']
['755', '963', '19']
['432', '343', '465']
['624', '279', '321']
['51', '454', '385']
['454', '781', '352']
['454', '80', '172']
['623', '101', '119']
['153', '716', '931']
['695', '638', '230']
['228', '20', '831']
['639', '716', '324']
['328', '80', '465']
['983', '289', '197']
['782', '688', '417']
['83', '880', '834']
['590', '436', '157']
['228', '715', '810']
['429', '489', '545']
['417', '180', '83']
['249', '993', '153']
['586', '378', '860']
['732', '97', '662']
['860', '207', '601']
['88', '983', '966']
['804', '255', '156']
['689', '972', '341']
['343', '534', '965']
['746', '80', '32']
['899', '378', '730']
['119', '88', '588']
['234', '649', '444']
['80', '624', '211']
['534', '341', '586']
['65', '172', '543']
['207', '522', '639']
['8', '20', '890']
['77', '590', '153']
['870', '602', '662']
['782', '812', '454']
['101', '123', '328']
['682', '417', '846']
['467', '638', '207']
['377', '623', '694']
['97', '777', '601']
['205', '890', '777']
['19', '598', '97']
['434', '950', '667']
['180', '429', '172']
['425', '255', '870']
['324', '230', '963']
['193', '983', '545']
['715', '324', '229']
['165', '444', '545']
['234', '791', '639']
['937', '691', '624']
['972', '725', '846']
['351', '436', '32']
['588', '172', '604']
['119', '831', '397']
['331', '352', '598']
['602', '436', '429']
['279', '623', '341']
['104', '746', '380']
['588', '586', '966']
['436', '899', '568']
['950', '249', '436']
['966', '983', '598']
['385', '590', '688']
['697', '77', '205']
['782', '755', '604']
['755', '554', '834']
['777', '420', '697']
['662', '519', '230']
['945', '624', '104']
['198', '624', '972']
['193', '689', '749']
['205', '523', '937']
['397', '138', '154']
['351', '467', '993']
['198', '691', '851']
['570', '156', '351']
['80', '234', '205']
['155', '157', '791']
['755', '929', '465']
['963', '154', '694']
['444', '791', '929']
['570', '352', '662']
['983', '432', '162']
['417', '706', '324']
['543', '929', '755']
['601', '883', '890']
['378', '172', '523']
['781', '980', '697']
['623', '638', '831']
['402', '945', '623']
['378', '189', '682']
['432', '402', '519']
['197', '333', '950']
['598', '162', '97']
['860', '417', '874']
['543', '385', '360']
['937', '688', '249']
['972', '97', '993']
['657', '523', '682']
['667', '612', '883']
['612', '321', '831']
['791', '831', '604']
['966', '860', '810']
['207', '551', '649']
['689', '963', '104']
['732', '321', '961']
['823', '604', '624']
['88', '119', '945']
['432', '604', '165']
['380', '777', '937']
['207', '610', '234']
['65', '985', '623']
['716', '682', '32']
['961', '725', '980']
['586', '730', '846']
['736', '378', '444']
['980', '691', '263']
['950', '193', '601']
['425', '943', '467']
['385', '153', '162']
['515', '732', '638']
['736', '65', '83']
['604', '899', '980']
['436', '218', '972']
['667', '931', '255']
['846', '211', '97']
['198', '880', '377']
['341', '688', '697']
['80', '352', '638']
['263', '682', '257']
['402', '324', '229']
['444', '205', '534']
['880', '669', '229']
['454', '554', '198']
['781', '965', '351']
['454', '97', '341']
['667', '198', '823']
['207', '649', '706']
['624', '467', '230']
['993', '83', '289']
['77', '682', '432']
['831', '397', '465']
['688', '417', '715']
['80', '162', '706']
['860', '263', '586']
['429', '444', '697']
['104', '321', '80']
['425', '436', '588']
['950', '352', '429']
['688', '695', '434']
['138', '228', '963']
['20', '950', '77']
['360', '639', '993']
['551', '38', '554']
['377', '610', '420']
['351', '985', '77']
['321', '360', '945']
['207', '417', '343']
['570', '380', '341']
['880', '706', '972']
['950', '255', '695']
['965', '123', '639']
['454', '65', '638']
['736', '205', '598']
['229', '263', '601']
['610', '341', '639']
['834', '682', '851']
['662', '101', '831']
['716', '601', '154']
['694', '649', '601']
['333', '601', '689']
['425', '961', '467']
['598', '198', '965']
['874', '32', '945']
['667', '436', '545']
['551', '20', '101']
['604', '810', '229']
['638', '602', '732']
['8', '467', '385']
['695', '983', '965']
['880', '746', '207']
['352', '725', '228']
['279', '691', '568']
['38', '434', '489']
['749', '602', '156']
['715', '782', '662']
['257', '554', '436']
['444', '972', '883']
['846', '782', '205']
['434', '635', '689']
['598', '385', '207']
['834', '823', '341']
['172', '189', '83']
['884', '586', '11']
['834', '289', '328']
['228', '402', '279']
['341', '883', '706']
['931', '823', '279']
['211', '351', '899']
['229', '180', '890']
['104', '694', '548']
['604', '688', '945']
['874', '639', '454']
['101', '197', '791']
['568', '155', '385']
['691', '378', '604']
['32', '263', '937']
['80', '963', '662']
['83', '360', '543']
['279', '554', '88']
['851', '639', '351']
['649', '119', '929']
['682', '515', '328']
['697', '263', '586']
['263', '746', '749']
['725', '154', '523']
['218', '20', '610']
['880', '444', '943']
['598', '229', '985']
['697', '19', '385']
['602', '397', '123']
['983', '929', '534']
['602', '522', '20']
['610', '88', '662']
['211', '638', '963']
['519', '551', '88']
['554', '380', '890']
['257', '352', '249']
['489', '716', '545']
['945', '197', '255']
['331', '380', '782']
['138', '943', '657']
['931', '397', '489']
['263', '378', '119']
['705', '123', '385']
['154', '165', '175']
['568', '860', '218']
['234', '929', '983']
['351', '966', '649']
['931', '649', '890']
['777', '465', '705']
['689', '321', '963']
['791', '965', '8']
['543', '308', '88']
['454', '138', '638']
['851', '590', '983']
['980', '831', '341']
['568', '432', '604']
['534', '255', '249']
['444', '429', '554']
['706', '193', '234']
['19', '444', '80']
['831', '745', '205']
['402', '961', '890']
['931', '732', '230']
['341', '610', '279']
['218', '162', '667']
['966', '104', '249']
['180', '604', '279']
['351', '489', '104']
['765', '781', '8']
['725', '397', '716']
['931', '165', '429']
['639', '207', '20']
['402', '331', '172']
['429', '983', '662']
['341', '515', '694']
['289', '669', '205']
['588', '88', '706']
['755', '570', '65']
['397', '943', '851']
['972', '706', '781']
['155', '755', '782']
['961', '985', '588']
['333', '308', '352']
['638', '20', '207']
['80', '730', '688']
['343', '77', '755']
['732', '249', '308']
['554', '695', '38']
['153', '716', '749']
['667', '730', '883']
['732', '899', '197']
['777', '725', '612']
['432', '465', '205']
['156', '812', '950']
['755', '11', '432']
['543', '777', '782']
['11', '950', '228']
['165', '385', '972']
['83', '823', '598']
['657', '929', '602']
['378', '328', '360']
['157', '993', '961']
['846', '823', '691']
['985', '157', '522']
['249', '812', '745']
['937', '211', '689']
['635', '694', '154']
['465', '324', '343']
['812', '467', '781']
['157', '568', '534']
['745', '454', '32']
['846', '523', '230']
['77', '884', '180']
['249', '165', '746']
['331', '429', '691']
['931', '568', '189']
['543', '950', '436']
['890', '65', '434']
['985', '706', '730']
['65', '669', '519']
['716', '465', '289']
['436', '831', '730']
['519', '162', '985']
['851', '263', '51']
['985', '402', '635']
['38', '745', '467']
['465', '963', '804']
['255', '65', '402']
['983', '804', '77']
['351', '97', '880']
['515', '175', '351']
['749', '810', '360']
['153', '883', '341']
['333', '138', '162']
['328', '234', '732']
['669', '860', '706']
['545', '234', '119']
['162', '931', '467']
['649', '639', '725']
['324', '420', '341']
['352', '965', '385']
['377', '80', '993']
['197', '657', '612']
['8', '586', '870']
['624', '669', '777']
['610', '534', '804']
['83', '397', '88']
['83', '162', '732']
['402', '8', '211']
['321', '804', '950']
['230', '534', '333']
['860', '467', '432']
['523', '554', '716']
['20', '725', '417']
['694', '289', '155']
['612', '155', '985']
['943', '444', '725']
['80', '378', '694']
['694', '604', '402']
['154', '781', '162']
['51', '228', '123']
['351', '11', '432']
['522', '279', '669']
['331', '834', '432']
['155', '834', '691']
['635', '669', '80']
['156', '965', '669']
['554', '380', '119']
['777', '88', '884']
['937', '943', '263']
['341', '425', '586']
['810', '570', '662']
['823', '697', '705']
['551', '688', '694']
['782', '289', '257']
['931', '331', '417']
['624', '432', '993']
['715', '324', '20']
['157', '943', '172']
['289', '588', '943']
['333', '635', '77']
['360', '649', '745']
['279', '993', '657']
['385', '570', '972']
['32', '851', '175']
['534', '983', '218']
['249', '432', '385']
['234', '104', '229']
['154', '804', '279']
['950', '568', '715']
['534', '765', '77']
['454', '691', '489']
['153', '51', '689']
['156', '965', '601']
['601', '385', '791']
['880', '207', '736']
['321', '545', '351']
['197', '810', '950']
['402', '810', '950']
['649', '725', '20']
['705', '697', '180']
['38', '279', '689']
['522', '65', '380']
['377', '429', '434']
['697', '454', '791']
['943', '377', '434']
['19', '263', '812']
['180', '639', '205']
['360', '211', '467']
['601', '638', '429']
['765', '884', '980']
['20', '172', '101']
['228', '612', '548']
['180', '454', '890']
['328', '612', '32']
['328', '604', '454']
['489', '610', '694']
['378', '983', '588']
['385', '380', '77']
['119', '961', '153']
['434', '716', '157']
['193', '635', '602']
['88', '804', '97']
['966', '279', '380']
['545', '662', '880']
['765', '588', '598']
['695', '834', '791']
['234', '635', '20']
['966', '385', '153']
['749', '993', '610']
['899', '588', '255']
['612', '736', '153']
['945', '19', '590']
['229', '612', '624']
['228', '19', '781']
['851', '716', '434']
['380', '755', '950']
['602', '950', '522']
['823', '860', '162']
['351', '705', '823']
['189', '343', '38']
['823', '77', '32']
['308', '229', '80']
['860', '119', '823']
['586', '425', '162']
['279', '705', '8']
['588', '417', '931']
['899', '965', '333']
['945', '624', '716']
['255', '154', '522']
['205', '639', '860']
['983', '454', '688']
['308', '929', '257']
['289', '83', '377']
['899', '823', '706']
['570', '983', '846']
['420', '635', '732']
['851', '157', '11']
['590', '682', '20']
['328', '551', '454']
['983', '657', '568']
['554', '943', '985']
['351', '8', '454']
['189', '890', '931']
['138', '331', '234']
['846', '883', '601']
['755', '279', '601']
['745', '51', '425']
['351', '812', '8']
['328', '706', '229']
['193', '545', '732']
['543', '782', '154']
['175', '551', '397']
['523', '725', '378']
['755', '77', '851']
['590', '746', '32']
['257', '937', '88']
['688', '860', '360']
['604', '434', '180']
['38', '467', '883']
['688', '341', '745']
['360', '534', '123']
['851', '205', '777']
['51', '884', '38']
['249', '172', '333']
['425', '945', '397']
['980', '101', '568']
['489', '425', '207']
['931', '551', '883']
['804', '207', '417']
['695', '880', '229']
['716', '429', '425']
['980', '705', '8']
['229', '963', '249']
['434', '197', '695']
['324', '83', '465']
['874', '467', '604']
['8', '83', '745']
['860', '420', '980']
['993', '397', '175']
['570', '523', '604']
['943', '604', '688']
['694', '649', '65']
['123', '515', '341']
['966', '119', '624']
['257', '543', '884']
['385', '638', '425']
['749', '966', '746']
['985', '929', '965']
['755', '602', '568']
['360', '189', '155']
['420', '590', '515']
['519', '874', '77']
['745', '705', '444']
['781', '289', '153']
['385', '515', '937']
['51', '730', '667']
['165', '80', '545']
['263', '943', '804']
['180', '385', '543']
['966', '465', '519']
['689', '695', '180']
['11', '649', '985']
['715', '156', '444']
['649', '436', '123']
['554', '465', '454']
['669', '602', '155']
['715', '586', '308']
['810', '781', '624']
['993', '207', '101']
['765', '420', '156']
['586', '162', '328']
['551', '534', '429']
['8', '880', '554']
['604', '851', '689']
['454', '929', '937']
['657', '831', '205']
['610', '402', '899']
['138', '950', '749']
['515', '657', '972']
['610', '602', '229']
['781', '154', '257']
['880', '175', '812']
['545', '162', '590']
['156', '983', '963']
['351', '172', '523']
['331', '436', '755']
['985', '950', '551']
['624', '548', '695']
['950', '667', '543']
['38', '598', '360']
['694', '749', '697']
['612', '308', '623']
['831', '522', '985']
['945', '551', '165']
['601', '697', '19']
['972', '588', '890']
['667', '602', '961']
['324', '343', '523']
['289', '83', '328']
['749', '32', '810']
['155', '444', '736']
['715', '77', '165']
['83', '436', '351']
['172', '249', '791']
['804', '966', '380']
['950', '156', '624']
['249', '157', '543']
['333', '669', '688']
['38', '402', '612']
['929', '425', '551']
['745', '736', '851']
['165', '65', '689']
['765', '434', '791']
['352', '598', '715']
['602', '454', '197']
['715', '377', '598']
['32', '961', '551']
['402', '551', '682']
['831', '706', '682']
['234', '257', '175']
['899', '324', '730']
['745', '937', '434']
['985', '697', '19']
['732', '465', '950']
['228', '943', '489']
['380', '172', '402']
['19', '812', '467']
['360', '781', '730']
['980', '343', '377']
['846', '341', '489']
['38', '716', '352']
['123', '804', '689']
['119', '695', '705']
['602', '255', '162']
['402', '943', '308']
['870', '694', '420']
['834', '966', '153']
['165', '377', '351']
['890', '519', '465']
['230', '899', '97']
['80', '965', '324']
['429', '328', '397']
['193', '612', '695']
['983', '333', '548']
['834', '162', '172']
['691', '725', '612']
['417', '657', '172']
['899', '812', '931']
['635', '943', '523']
['950', '980', '218']
['716', '963', '965']
['257', '352', '682']
['154', '945', '782']
['88', '657', '519']
['694', '230', '436']
['746', '624', '851']
['777', '639', '985']
['425', '612', '568']
['649', '515', '218']
['874', '331', '180']
['119', '20', '588']
['119', '229', '688']
['193', '51', '899']
['397', '777', '377']
['432', '601', '610']
['694', '602', '255']
['746', '104', '465']
['568', '11', '255']
['352', '378', '823']
['420', '429', '745']
['883', '249', '554']
['972', '19', '444']
['624', '519', '846']
['138', '331', '604']
['543', '230', '961']
['32', '402', '263']
['11', '429', '568']
['657', '19', '781']
['119', '97', '983']
['834', '189', '465']
['851', '804', '165']
['341', '211', '950']
['534', '657', '899']
['657', '993', '197']
['601', '218', '851']
['612', '945', '32']
['343', '154', '331']
['444', '706', '519']
['193', '961', '123']
['321', '884', '639']
['385', '197', '706']
['874', '804', '749']
['207', '810', '119']
['228', '695', '590']
['543', '519', '257']
['324', '812', '104']
['101', '157', '218']
['682', '985', '823']
['931', '804', '523']
['745', '689', '65']
['230', '590', '745']
['993', '810', '522']
['385', '543', '360']
['257', '80', '598']
['598', '402', '705']
['197', '884', '610']
['694', '601', '777']
['380', '279', '155']
['601', '257', '162']
['198', '308', '610']
['765', '228', '156']
['669', '198', '961']
['983', '19', '123']
['523', '980', '77']
['851', '610', '467']
['465', '781', '153']
['378', '834', '639']
['77', '588', '180']
['397', '8', '341']
['234', '983', '937']
['689', '657', '880']
['32', '695', '432']
['402', '689', '543']
['689', '378', '360']
['598', '883', '417']
['228', '993', '635']
['218', '153', '543']
['883', '19', '823']
['20', '649', '101']
['321', '554', '77']
['966', '604', '467']
['153', '638', '123']
['51', '352', '467']
['8', '715', '870']
['65', '279', '755']
['420', '257', '639']
['255', '80', '19']
['963', '417', '588']
['198', '180', '255']
['229', '175', '551']
['931', '568', '602']
['657', '961', '791']
['662', '823', '80']
['522', '931', '943']
['193', '328', '324']
['688', '695', '522']
['782', '519', '218']
['831', '211', '397']
['880', '983', '380']
['154', '755', '434']
['950', '781', '725']
['417', '551', '965']
['730', '352', '931']
['38', '380', '32']
['860', '612', '777']
['931', '667', '765']
['950', '682', '657']
['782', '590', '20']
['688', '716', '732']
['545', '138', '97']
['810', '153', '635']
['669', '138', '570']
['11', '755', '931']
['884', '870', '523']
['985', '402', '324']
['943', '189', '688']
['874', '638', '522']
['255', '610', '154']
