['336', '356', '153']
['538', '501', '227']
['760', '222', '15']
['512', '616', '130']
['585', '389', '864']
['270', '218', '305']
['245', '80', '524']
['432', '689', '99']
['823', '955', '335']
['22', '890', '440']
['124', '645', '57']
['946', '468', '220']
['394', '868', '549']
['233', '671', '361']
['403', '685', '176']
['891', '229', '341']
['904', '563', '4']
['582', '984', '68']
['899', '525', '534']
['330', '391', '346']
['131', '849', '676']
['151', '133', '738']
['395', '898', '144']
['355', '499', '998']
['885', '338', '369']
['749', '217', '427']
['255', '511', '665']
['399', '621', '643']
['452', '761', '129']
['770', '964', '876']
['166', '837', '179']
['587', '141', '624']
['9', '19', '576']
['72', '782', '196']
['149', '741', '311']
['960', '934', '767']
['728', '322', '138']
['819', '134', '795']
['193', '581', '922']
['174', '705', '426']
['808', '123', '142']
['690', '991', '919']
['758', '125', '260']
['529', '32', '930']
['127', '34', '870']
['194', '914', '416']
['272', '112', '378']
['298', '779', '584']
['471', '344', '962']
['750', '896', '732']
['436', '236', '925']
['704', '424', '573']
['65', '966', '316']
['975', '560', '347']
['400', '208', '44']
['679', '58', '407']
['894', '805', '694']
['428', '847', '727']
['901', '280', '419']
['162', '820', '869']
['18', '352', '929']
['818', '945', '266']
['13', '5', '313']
['420', '871', '373']
['204', '93', '267']
['250', '951', '562']
['663', '976', '110']
['164', '451', '571']
['906', '190', '285']
['877', '815', '295']
['604', '504', '367']
['660', '422', '279']
['513', '954', '348']
['879', '883', '716']
['986', '230', '813']
['76', '916', '398']
['113', '800', '608']
['965', '981', '559']
['332', '614', '111']
['649', '753', '299']
['116', '269', '448']
['769', '722', '635']
['35', '210', '533']
['51', '412', '651']
['122', '16', '814']
['696', '319', '532']
['74', '106', '764']
['907', '775', '766']
['354', '282', '457']
['967', '237', '806']
['917', '619', '773']
['589', '423', '315']
['459', '961', '594']
['555', '836', '126']
['199', '726', '89']
['221', '46', '333']
['625', '678', '905']
['952', '508', '197']
['296', '707', '683']
['345', '656', '284']
['96', '449', '652']
['771', '160', '627']
['895', '370', '185']
['822', '956', '638']
['715', '924', '958']
['228', '674', '622']
['781', '634', '39']
['709', '817', '409']
['659', '718', '102']
['434', '510', '447']
['181', '170', '550']
['874', '631', '467']
['595', '586', '318']
['212', '371', '629']
['61', '887', '70']
['653', '10', '364']
['29', '6', '375']
['25', '558', '421']
['43', '790', '744']
['191', '840', '53']
['932', '639', '115']
['774', '547', '418']
['751', '569', '803']
['474', '446', '86']
['865', '470', '103']
['183', '506', '637']
['64', '719', '743']
['583', '786', '303']
['816', '283', '383']
['429', '165', '261']
['94', '466', '892']
['858', '489', '21']
['641', '948', '970']
['42', '155', '872']
['517', '599', '92']
['632', '339', '98']
['564', '861', '476']
['778', '963', '290']
['536', '435', '522']
['755', '490', '8']
['875', '247', '20']
['697', '797', '135']
['146', '388', '658']
['161', '49', '989']
['45', '38', '3']
['723', '867', '327']
['188', '567', '265']
['703', '77', '312']
['460', '590', '259']
['385', '711', '48']
['154', '278', '615']
['920', '669', '733']
['17', '306', '739']
['889', '145', '411']
['274', '662', '377']
['978', '949', '915']
['710', '156', '7']
['980', '277', '483']
['357', '97', '777']
['203', '832', '565']
['982', '799', '780']
['691', '37', '444']
['63', '495', '107']
['684', '603', '262']
['184', '477', '360']
['226', '119', '200']
['936', '140', '772']
['911', '263', '40']
['350', '841', '101']
['374', '487', '402']
['359', '539', '737']
['729', '947', '78']
['655', '609', '50']
['475', '264', '893']
['167', '762', '136']
['552', '730', '242']
['351', '358', '776']
['12', '95', '701']
['24', '84', '633']
['974', '108', '368']
['492', '717', '748']
['443', '878', '114']
['507', '902']
['688', '301', '177']
['602', '784', '105']
['535', '26']
['215', '342', '67']
['618', '931', '152']
