['216', '862', '289', '562', '898', '389', '467', '981', '431', '691', '255', '942', '735', '732', '112', '29', '774', '417', '471', '665']
['567', '941', '692', '740', '330', '300', '662', '126', '80', '890', '101', '195', '505', '566', '184', '279', '946', '887', '997', '152']
['798', '605', '421', '509', '834', '793', '604', '506', '119', '328', '252', '476', '811', '422', '706', '360', '499', '439', '58', '20']
['385', '825', '642', '784', '66', '453', '120', '829', '197', '125', '616', '653', '37', '12', '883', '408', '135', '702', '995', '222']
['92', '823', '294', '989', '818', '118', '797', '285', '676', '250', '817', '172', '510', '440', '620', '525', '922', '886', '765', '708']
['925', '970', '412', '639', '682', '76', '480', '659', '656', '677', '585', '13', '792', '555', '373', '602', '390', '536', '754', '578']
['864', '341', '894', '106', '5', '451', '303', '430', '502', '284', '34', '481', '906', '703', '658', '355', '304', '44', '699', '457']
['428', '880', '19', '273', '830', '344', '241', '821', '597', '594', '15', '992', '233', '68', '63', '269', '930', '744', '387', '746']
['393', '192', '495', '591', '802', '900', '598', '808', '88', '550', '957', '406', '622', '608', '559', '921', '892', '221', '586', '805']
['97', '613', '361', '334', '415', '779', '650', '838', '264', '543', '633', '545', '527', '212', '693', '167', '345', '168', '401', '623']
['978', '767', '860', '685', '267', '77', '764', '889', '843', '224', '226', '973', '359', '281', '205', '323', '917', '248', '599', '407']
['877', '520', '298', '491', '913', '897', '934', '306', '215', '681', '309', '769', '270', '377', '238', '933', '709', '770', '128', '468']
['260', '987', '968', '236', '903', '847', '748', '449', '745', '171', '57', '503', '592', '139', '589', '450', '268', '486', '807', '577']
['758', '596', '59', '265', '908', '461', '711', '26', '177', '832', '878', '358', '551', '24', '336', '153', '140', '25', '649', '247']
['109', '190', '828', '720', '164', '820', '717', '122', '100', '794', '815', '331', '607', '755', '176', '7', '161', '919', '436', '307']
