['425', '229', '844', '769', '797', '213', '796', '268', '411', '601']
['847', '789', '766', '950', '92', '954', '244', '276', '49', '936']
['319', '302', '364', '647', '594', '510', '695', '632', '459', '544']
['120', '870', '301', '196', '180', '764', '924', '326', '605', '957']
['168', '903', '97', '173', '217', '1', '512', '702', '254', '859']
['564', '685', '371', '666', '359', '972', '532', '163', '235', '19']
['402', '498', '220', '144', '858', '182', '893', '991', '860', '413']
['169', '295', '478', '537', '199', '306', '385', '250', '384', '62']
['611', '167', '471', '296', '386', '74', '843', '109', '216', '383']
['922', '374', '645', '688', '188', '34', '218', '992', '651', '211']
['675', '774', '262', '320', '897', '200', '25', '738', '660', '913']
['185', '790', '85', '124', '861', '803', '553', '584', '595', '35']
['643', '668', '23', '971', '807', '340', '739', '400', '775', '444']
['806', '686', '704', '561', '723', '493', '309', '147', '256', '224']
['765', '234', '540', '127', '142', '379', '415', '372', '835', '52']
['573', '108', '722', '832', '336', '942', '993', '135', '408', '943']
['534', '441', '578', '18', '910', '622', '545', '586', '390', '51']
['948', '227', '816', '55', '980', '33', '329', '654', '285', '591']
['888', '245', '523', '606', '373', '102', '453', '984', '255', '73']
['770', '53', '508', '533', '955', '546', '905', '241', '368', '986']
['886', '520', '113', '636', '138', '298', '492', '396', '726', '911']
['511', '851', '813', '848', '616', '526', '258', '86', '197', '293']
['894', '837', '490', '885', '151', '87', '489', '868', '693', '279']
['563', '773', '823', '788', '63', '880', '896', '300', '88', '597']
['576', '452', '902', '472', '275', '99', '312', '581', '91', '697']
['281', '696', '126', '259', '432', '80', '146', '639', '67', '945']
['515', '518', '853', '979', '507', '43', '805', '671', '522', '435']
['539', '468', '779', '541', '744', '932', '876', '869', '118', '741']
['613', '795', '516', '961', '917', '369', '317', '776', '968', '875']
['346', '941', '658', '334', '464', '247', '448', '78', '619', '652']
['589', '818', '864', '878', '506', '768', '631', '82', '994', '760']
['165', '552', '783', '962', '434', '528', '482', '599', '21', '593']
['128', '828', '438', '437', '60', '407', '321', '999', '6', '916']
['755', '889', '585', '111', '547', '469', '370', '422', '583', '565']
['20', '742', '690', '937', '944', '990', '782', '799', '286', '713']
['635', '253', '69', '0', '96', '278', '420', '550', '740', '260']
['393', '477', '284', '915', '988', '29', '556', '170', '692', '358']
['939', '587', '8', '728', '42', '687', '982', '530', '463', '447']
['621', '484', '959', '521', '486', '353', '602', '618', '637', '732']
['918', '709', '833', '194', '342', '388', '445', '513', '155', '524']
['428', '403', '579', '175', '95', '360', '923', '588', '973', '725']
['15', '827', '159', '767', '874', '221', '850', '829', '367', '750']
['351', '183', '481', '929', '348', '504', '409', '7', '567', '822']
['580', '436', '150', '623', '204', '499', '270', '416', '871', '901']
['682', '718', '130', '751', '877', '856', '934', '257', '780', '568']
['558', '846', '193', '174', '494', '649', '365', '2', '926', '640']
