['496', '887', '860', '630', '194']
['330', '203', '165', '844', '341']
['244', '963', '934', '142', '447']
['233', '138', '619', '161', '346']
['378', '302', '139', '851', '502']
['480', '796', '715', '836', '407']
['970', '854', '41', '112', '227']
['879', '8', '756', '974', '155']
['487', '711', '653', '514', '373']
['978', '473', '377', '85', '903']
['289', '199', '613', '670', '908']
['577', '124', '380', '957', '221']
['784', '358', '741', '767', '105']
['571', '500', '96', '716', '679']
['551', '614', '332', '694', '387']
['809', '655', '812', '135', '758']
['810', '83', '937', '735', '664']
['944', '246', '790', '232', '586']
['672', '985', '912', '484', '540']
['356', '935', '274', '684', '148']
['948', '29', '79', '425', '542']
['942', '467', '403', '835', '462']
['676', '23', '885', '622', '140']
['548', '629', '511', '209', '841']
['479', '612', '92', '719', '143']
['620', '967', '600', '106', '675']
['458', '617', '179', '288', '579']
['642', '158', '840', '984', '236']
['909', '857', '896', '525', '399']
['37', '450', '64', '477', '295']
['635', '625', '260', '870', '989']
['623', '49', '845', '101', '822']
['245', '701', '222', '529', '938']
['964', '628', '637', '541', '88']
['993', '243', '1', '119', '241']
['408', '39', '994', '686', '84']
['589', '361', '114', '850', '527']
['705', '349', '48', '183', '996']
['892', '848', '442', '526', '110']
['156', '211', '606', '634', '201']
['310', '364', '489', '228', '680']
['910', '975', '27', '940', '366']
['343', '382', '170', '367', '797']
['344', '871', '699', '508', '240']
['641', '172', '325', '36', '778']
['250', '345', '855', '108', '296']
['74', '562', '534', '760', '889']
['219', '376', '905', '958', '552']
['66', '751', '533', '515', '709']
['646', '86', '636', '31', '953']
['499', '159', '181', '627', '5']
['338', '807', '26', '817', '667']
['115', '838', '192', '941', '195']
['697', '76', '207', '286', '742']
['946', '644', '461', '750', '374']
['648', '820', '926', '167', '584']
['814', '997', '284', '572', '133']
['18', '631', '457', '248', '888']
['262', '776', '409', '802', '874']
['535', '891', '578', '616', '34']
['569', '300', '363', '624', '890']
['638', '674', '825', '549', '504']
['782', '70', '550', '169', '190']
['82', '952', '308', '423', '762']
['859', '532', '615', '312', '783']
['880', '976', '786', '417', '268']
['329', '468', '494', '402', '307']
['281', '536', '137', '743', '313']
['698', '481', '826', '969', '932']
['718', '902', '290', '97', '828']
['521', '151', '555', '44', '182']
['242', '497', '748', '687', '923']
['793', '68', '747', '279', '766']
['734', '99', '864', '869', '988']
['340', '389', '395', '977', '53']
['368', '81', '160', '351', '590']
['795', '216', '898', '669', '258']
['208', '587', '128', '558', '131']
['427', '422', '992', '787', '202']
['379', '445', '899', '435', '342']
['25', '559', '873', '575', '218']
['987', '352', '129', '40', '452']
['761', '93', '198', '434', '322']
['661', '149', '73', '945', '568']
['348', '205', '125', '316', '451']
['486', '553', '823', '393', '282']
['800', '973', '564', '485', '918']
['334', '16', '210', '130', '166']
['744', '375', '365', '152', '320']
['50', '19', '916', '580', '990']
['59', '982', '35', '872', '87']
['75', '388', '609', '979', '466']
['972', '266', '645', '436', '90']
['430', '197', '42', '691', '501']
['196', '213', '685', '419', '804']
['390', '30', '839', '811', '599']
['470', '33', '866', '261', '649']
['355', '933', '438', '362', '401']
['632', '772', '755', '383', '557']
['658', '292', '775', '164', '919']
['315', '901', '215', '0', '298']
['730', '491', '336', '339', '206']
['103', '132', '107', '681', '303']
['15', '737', '512', '127', '257']
['639', '827', '665', '429', '574']
['538', '177', '570', '607', '478']
['556', '65', '495', '372', '109']
['113', '357', '943', '733', '509']
['704', '510', '662', '821', '523']
['949', '6', '118', '331', '299']
['147', '913', '474', '998', '980']
