['135', '841', '991', '812', '663', '952', '575', '270', '655', '684', '192', '128', '342', '816', '781', '97', '322', '902', '504', '948', '385', '227', '285', '325', '675']
['602', '500', '784', '928', '171', '76', '83', '618', '565', '256', '574', '191', '132', '768', '194', '487', '989', '180', '430', '971', '855', '226', '502', '362', '425']
['494', '10', '159', '507', '682', '432', '145', '558', '657', '404', '168', '508', '879', '582', '233', '468', '389', '727', '806', '607', '319', '911', '914', '535', '300']
['746', '307', '988', '497', '284', '266', '683', '723', '150', '94', '544', '724', '852', '609', '882', '445', '400', '429', '148', '240', '716', '742', '621', '431', '758']
['705', '466', '48', '464', '18', '424', '580', '885', '595', '46', '129', '870', '704', '413', '770', '691', '31', '694', '153', '332', '573', '953', '978', '785', '472']
['617', '814', '587', '103', '950', '208', '255', '104', '688', '350', '228', '886', '532', '728', '448', '737', '375', '585', '510', '498', '792', '763', '386', '776', '313']
['647', '653', '161', '773', '303', '662', '606', '509', '644', '201', '511', '308', '731', '387', '84', '34', '80', '648', '136', '5', '244', '958', '219', '539', '581']
['465', '596', '610', '419', '927', '946', '221', '601', '269', '230', '1', '134', '976', '214', '922', '6', '130', '131', '969', '85', '525', '388', '641', '923', '193']
['538', '209', '764', '571', '469', '802', '967', '360', '250', '578', '357', '366', '371', '640', '393', '283', '376', '751', '527', '993', '278', '110', '196', '483', '273']
['373', '69', '741', '880', '186', '35', '317', '783', '248', '326', '850', '53', '956', '138', '877', '583', '155', '633', '827', '871', '211', '96', '29', '718', '113']
['207', '115', '495', '898', '474', '378', '394', '873', '54', '234', '239', '736', '416', '962', '60', '936', '786', '422', '253', '142', '656', '836', '32', '289', '485']
['992', '73', '456', '690', '826', '277', '563', '127', '406', '407', '12', '47', '895', '119', '173', '909', '676', '102', '968', '945', '327', '599', '680', '238', '811']
['685', '200', '454', '459', '384', '931', '475', '438', '392', '591', '562', '493', '929', '473', '117', '817', '220', '846', '181', '612', '744', '272', '59', '824', '72']
['739', '254', '740', '414', '482', '584', '477', '638', '178', '141', '667', '613', '258', '677', '513', '112', '787', '960', '597', '915', '49', '645', '630', '39', '708']
['626', '778', '484', '109', '747', '715', '753', '111', '867', '540', '189', '352', '276', '624', '440', '203', '828', '426', '122', '423', '671', '87', '320', '353', '779']
['198', '496', '98', '924', '673', '553', '721', '453', '614', '983', '559', '176', '8', '346', '822', '20', '579', '338', '560', '555', '564', '190', '808', '985', '447']
['938', '829', '291', '215', '316', '767', '605', '170', '627', '913', '89', '577', '949', '604', '921', '348', '714', '354', '4', '631', '987', '896', '446', '363', '185']
['36', '862', '235', '421', '592', '793', '287', '646', '294', '372', '63', '52', '849', '986', '730', '330', '177', '872', '151', '883', '163', '374', '598', '984', '158']
['107', '523', '757', '890', '813', '832', '876', '345', '471', '809', '608', '304', '79', '77', '552', '974', '212', '410', '894', '86', '174', '396', '807', '225', '840']
['333', '286', '917', '331', '918', '959', '441', '125', '165', '856', '241', '218', '297', '444', '75', '658', '401', '930', '71', '926', '965', '9', '622', '33', '941']
['380', '875', '123', '74', '449', '288', '531', '780', '88', '124', '403', '2', '853', '524', '889', '548', '934', '261', '42', '314', '615', '23', '140', '95', '310']
['217', '665', '545', '152', '925', '30', '750', '623', '460', '329', '520', '252', '154', '27', '830', '970', '433', '347', '56', '199', '859', '480', '566', '760', '204']
['486', '292', '0', '810', '861', '844', '251', '782', '412', '980', '869', '576', '664', '788', '457', '121', '533', '857', '821', '594', '692', '905', '506', '437', '11']
['887', '940', '164', '405', '568', '801', '616', '762', '451', '99', '643', '842', '972', '537', '321', '854', '823', '114', '428', '848', '672', '957', '636', '43', '260']
