['202', '764', '668', '163', '63', '28', '905', '576', '87', '17', '460', '485', '894', '459', '286', '287', '809', '80', '646', '280']
['848', '74', '852', '208', '372', '402', '634', '807', '252', '292', '834', '979', '220', '455', '431', '475', '983', '819', '128', '456']
['998', '552', '710', '69', '714', '567', '630', '509', '594', '700', '173', '14', '481', '926', '512', '251', '118', '573', '784', '670']
['6', '167', '927', '511', '990', '51', '830', '38', '82', '787', '203', '920', '532', '900', '259', '699', '599', '762', '216', '736']
['518', '970', '765', '436', '810', '853', '458', '89', '783', '246', '864', '919', '577', '473', '756', '847', '498', '531', '76', '656']
['854', '472', '248', '768', '772', '479', '16', '934', '722', '501', '98', '361', '300', '184', '237', '301', '530', '579', '185', '61']
['469', '132', '569', '235', '18', '694', '626', '397', '88', '48', '635', '839', '748', '593', '339', '491', '453', '162', '534', '616']
['215', '583', '877', '274', '356', '866', '734', '400', '546', '671', '881', '376', '176', '412', '526', '872', '102', '349', '238', '109']
['598', '101', '24', '296', '363', '615', '73', '917', '861', '137', '81', '457', '233', '693', '165', '940', '659', '226', '303', '345']
['15', '143', '555', '298', '22', '959', '393', '673', '247', '399', '229', '875', '580', '533', '464', '183', '378', '114', '731', '486']
['601', '315', '166', '818', '550', '698', '759', '75', '333', '153', '753', '792', '961', '228', '389', '495', '172', '554', '234', '7']
['788', '958', '189', '776', '840', '71', '154', '150', '729', '447', '421', '945', '850', '344', '996', '502', '912', '929', '952', '529']
['357', '8', '931', '774', '572', '704', '777', '493', '199', '346', '666', '34', '525', '317', '43', '219', '499', '838', '936', '565']
['161', '205', '178', '490', '644', '966', '193', '949', '836', '420', '320', '596', '681', '879', '407', '492', '863', '953', '933', '47']
['957', '558', '858', '424', '703', '409', '950', '419', '64', '304', '264', '944', '720', '305', '918', '806', '675', '191', '633', '461']
['891', '516', '364', '291', '416', '483', '142', '260', '504', '225', '112', '324', '168', '942', '282', '432', '622', '40', '973', '869']
['506', '66', '222', '327', '65', '969', '452', '268', '790', '987', '608', '860', '446', '815', '31', '654', '195', '735', '325', '131']
['78', '348', '846', '925', '147', '617', '841', '742', '750', '309', '707', '62', '35', '758', '338', '240', '4', '628', '937', '217']
['971', '716', '70', '497', '890', '800', '371', '991', '643', '187', '322', '760', '175', '417', '984', '249', '536', '496', '342', '383']
['915', '658', '611', '794', '605', '218', '50', '171', '763', '334', '343', '896', '930', '946', '740', '508', '236', '138', '667', '347']
['26', '737', '771', '104', '111', '182', '257', '95', '867', '685', '844', '353', '435', '273', '661', '743', '387', '206', '224', '519']
['113', '146', '796', '556', '638', '989', '290', '381', '524', '651', '411', '108', '46', '696', '454', '586', '682', '94', '354', '695']
['721', '503', '924', '32', '517', '907', '54', '972', '687', '439', '294', '139', '375', '779', '702', '749', '587', '293', '307', '214']
['871', '606', '91', '632', '627', '808', '170', '874', '323', '33', '588', '564', '669', '211', '724', '648', '822', '674', '177', '951']
['96', '186', '379', '254', '201', '730', '855', '403', '426', '677', '25', '595', '445', '911', '551', '746', '329', '434', '744', '110']
['505', '119', '893', '174', '664', '636', '388', '141', '362', '367', '29', '126', '207', '520', '261', '326', '209', '20', '625', '404']
['44', '350', '337', '158', '2', '826', '921', '851', '553', '775', '192', '414', '797', '805', '878', '267', '778', '197', '442', '786']
['188', '974', '476', '755', '769', '827', '302', '335', '645', '468', '988', '624', '127', '653', '823', '67', '868', '415', '210', '59']
['812', '613', '544', '256', '751', '686', '49', '910', '885', '537', '814', '637', '600', '12', '993', '467', '560', '289', '331', '444']
['450', '276', '543', '849', '620', '164', '514', '281', '11', '883', '332', '960', '105', '886', '134', '781', '829', '368', '295', '373']
['535', '967', '53', '196', '120', '574', '876', '145', '285', '351', '478', '124', '355', '200', '997', '522', '705', '269', '843', '603']
['639', '262', '116', '19', '232', '547', '227', '275', '975', '394', '943', '427', '278', '482', '250', '68', '123', '562', '212', '0']
