['768', '599', '372', '145', '811']
['347', '320', '635', '220', '118']
['415', '365', '783', '71', '471']
['178', '698', '2', '756', '687']
['112', '68', '895', '119', '99']
['955', '413', '554', '949', '361']
['42', '183', '905', '725', '605']
['862', '911', '280', '560', '829']
['763', '135', '944', '750', '69']
['603', '75', '733', '241', '764']
['160', '873', '573', '131', '621']
['151', '548', '641', '507', '374']
['891', '384', '740', '799', '972']
['901', '319', '626', '711', '707']
['401', '439', '995', '32', '391']
['580', '710', '568', '360', '58']
['963', '321', '852', '542', '977']
['708', '655', '734', '704', '170']
['370', '504', '333', '155', '971']
['771', '277', '271', '398', '295']
