['510', '730', '653', '616', '553', '43', '144', '907', '989', '534', '321', '215', '752', '349', '0', '905', '443', '692', '547', '170']
['568', '512', '186', '628', '476', '906', '753', '659', '72', '420', '889', '485', '877', '792', '959', '148', '352', '735', '76', '94']
['836', '236', '333', '210', '15', '928', '768', '896', '784', '96', '736', '491', '127', '781', '218', '606', '834', '281', '798', '881']
['24', '911', '581', '274', '721', '754', '469', '196', '863', '975', '152', '668', '924', '868', '297', '667', '194', '102', '883', '283']
['150', '715', '139', '477', '681', '300', '243', '45', '106', '995', '248', '853', '31', '815', '287', '697', '517', '567', '796', '20']
['522', '845', '621', '690', '634', '348', '677', '941', '36', '953', '339', '426', '57', '5', '108', '540', '516', '536', '221', '518']
['756', '249', '685', '607', '691', '626', '290', '216', '399', '760', '545', '133', '184', '427', '273', '405', '569', '504', '423', '202']
['641', '359', '251', '912', '564', '458', '960', '638', '375', '644', '767', '350', '164', '213', '746', '406', '867', '188', '631', '154']
['552', '175', '21', '347', '780', '425', '115', '232', '38', '288', '764', '358', '586', '401', '957', '952', '599', '80', '394', '664']
['632', '707', '107', '30', '484', '988', '565', '27', '592', '700', '226', '298', '609', '763', '809', '410', '880', '316', '971', '345']
['158', '303', '954', '755', '489', '204', '329', '44', '134', '878', '822', '601', '319', '739', '903', '147', '694', '481', '922', '590']
['897', '70', '189', '140', '387', '850', '487', '649', '497', '578', '909', '670', '758', '455', '447', '645', '121', '993', '18', '544']
['686', '530', '785', '395', '355', '963', '475', '301', '873', '519', '337', '588', '722', '373', '869', '244', '703', '461', '468', '398']
['528', '293', '382', '935', '920', '436', '948', '731', '860', '761', '450', '496', '391', '480', '371', '110', '678', '372', '866', '269']
['520', '741', '559', '970', '162', '944', '851', '931', '737', '529', '222', '615', '515', '657', '217', '135', '112', '656', '367', '523']
['938', '166', '33', '435', '332', '103', '312', '914', '698', '417', '790', '774', '275', '143', '651', '214', '125', '262', '543', '776']
['211', '28', '643', '449', '673', '524', '71', '973', '209', '191', '199', '506', '991', '95', '591', '234', '981', '604', '61', '431']
['876', '558', '330', '817', '294', '985', '572', '871', '775', '85', '689', '884', '318', '967', '22', '574', '783', '505', '169', '826']
['23', '748', '380', '105', '729', '325', '674', '313', '296', '440', '635', '277', '364', '261', '179', '629', '926', '779', '682', '890']
['74', '167', '58', '264', '335', '183', '60', '66', '383', '934', '904', '956', '308', '732', '104', '945', '501', '733', '13', '521']
['259', '603', '65', '488', '8', '441', '600', '242', '613', '561', '284', '299', '684', '100', '773', '511', '360', '124', '453', '500']
['937', '266', '176', '778', '365', '137', '498', '466', '35', '531', '762', '865', '230', '91', '229', '78', '525', '862', '582', '467']
['156', '291', '271', '378', '4', '286', '445', '322', '69', '720', '131', '854', '351', '320', '839', '611', '997', '966', '879', '818']
['195', '238', '377', '87', '913', '392', '54', '220', '919', '486', '192', '98', '39', '464', '407', '93', '605', '62', '84', '805']
